diagnosis,count,percentage,global,irrelevant,local
abnormal ecg,349667,13.03,1,0,0
sinus rhythm,306377,11.42,1,0,0
borderline ecg,169054,6.3,1,0,0
normal ecg,116363,4.34,1,0,0
left axis deviation,74540,2.78,1,0,0
sinus rhythm.,61063,2.28,1,0,0
sinus bradycardia,58464,2.18,1,0,0
inferior infarct - age undetermined,40893,1.52,1,0,0
low qrs voltages in precordial leads,40697,1.52,0,0,1
sinus tachycardia,39665,1.48,1,0,0
prolonged qt interval,37105,1.38,0,0,1
poor r wave progression - probable normal variant,36380,1.36,1,0,1
normal ecg except for rate,35921,1.34,1,0,0
possible anterior infarct - age undetermined,33787,1.26,1,0,0
right bundle branch block,33409,1.25,1,0,1
leftward axis,33136,1.24,1,0,0
atrial fibrillation,32318,1.2,1,0,0
left ventricular hypertrophy,30623,1.14,1,0,0
possible inferior infarct - age undetermined,30198,1.13,1,0,0
inferior t wave changes are nonspecific,29125,1.09,0,0,1
iv conduction defect,25190,0.94,1,0,0
left bundle branch block,23235,0.87,1,0,1
lateral t wave changes are nonspecific,21338,0.8,0,0,1
rbbb with left anterior fascicular block,20705,0.77,1,0,1
low qrs voltages in limb leads,19226,0.72,0,0,1
rsr'(v1) - probable normal variant,16989,0.63,0,0,1
lateral st-t changes are nonspecific,16623,0.62,0,0,1
anterior t wave changes are nonspecific,16601,0.62,0,0,1
possible left atrial abnormality,14898,0.56,1,0,0
lvh with secondary repolarization abnormality,14627,0.55,1,0,1
lateral st-t changes may be due to myocardial ischemia,14318,0.53,1,0,1
possible anteroseptal infarct - age undetermined,13836,0.52,1,0,0
pacemaker rhythm - no further analysis,13503,0.5,1,0,0
inferior/lateral st-t changes are nonspecific,13475,0.5,0,0,1
sinus tachycardia.,13470,0.5,1,0,0
probable left atrial enlargement,12930,0.48,1,0,0
left anterior fascicular block,12475,0.46,1,0,1
sinus rhythm with borderline 1st degree a-v block,12106,0.45,1,0,0
possible left ventricular hypertrophy,11886,0.44,1,0,0
possible septal infarct - age undetermined,11666,0.43,1,0,0
sinus bradycardia.,11592,0.43,1,0,0
sinus rhythm with 1st degree a-v block,11365,0.42,1,0,0
sinus arrhythmia,11105,0.41,1,0,0
short pr interval,11100,0.41,0,0,1
extensive st-t changes may be due to myocardial ischemia,10849,0.4,1,0,1
possible left anterior fascicular block,10683,0.4,1,0,0
inferior/lateral st-t changes may be due to myocardial ischemia,9982,0.37,1,0,1
st junctional depression is nonspecific,9935,0.37,0,0,1
septal t wave changes are nonspecific,9356,0.35,0,0,1
atrial fibrillation with rapid ventricular response,9144,0.34,1,0,0
rightward axis,8826,0.33,1,0,0
lateral t wave changes may be due to myocardial ischemia,8787,0.33,1,0,1
atrial fibrillation.,8590,0.32,1,0,0
*** consider acute st elevation mi ***,8505,0.32,1,0,1
sinus rhythm with pac(s),8161,0.3,1,0,1
